Href,Type,Name,Teacher,Level,Duration,Date,Votes
https://www.pluralsight.com/browse?=&q=data%20visualization&type=all&sort=default,Course,SnowPro Advanced Data Analyst: Data Analysis,Bismark Adomako,Intermediate,57m,2024-08-12,
https://www.pluralsight.com/browse?=&q=security%20testing&type=all&sort=default,Course,ISTQB® Specialist: Performance Testing,Andrejs Doronins,Beginner,3h 20m,2024-08-09,
https://www.pluralsight.com/browse?=&q=virtualization&type=all,Course,Scale Data in Snowflake,Pinal Dave,Intermediate,17m,2024-08-08,
https://www.pluralsight.com/browse?=&q=IT%20automation&type=all&sort=default,Course,Security Hot Takes: CrowdStrike Outage Post-mortem,Bri Frost,Intermediate,31m,2024-08-08,(15)
https://www.pluralsight.com/browse?=&q=security%20awareness&type=all,Course,API Security Practices,Travis Thomsen,Intermediate,1h 36m,2024-08-06,
https://www.pluralsight.com/browse?=&q=security%20certifications&type=all&sort=default,Course,API Security Practices,Travis Thomsen,Intermediate,1h 36m,2024-08-06,
https://www.pluralsight.com/browse?=&q=programming%20languages&type=all&sort=default,Course,Develop NLP Apps with Azure AI Language,Chris Espinoza,Beginner,16m,2024-08-06,
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,Develop NLP Apps with Azure AI Language,Chris Espinoza,Beginner,16m,2024-08-06,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Serverless Data Processing with Dataflow: Operations,Google Cloud,Advanced,1h 51m,2024-08-02,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Serverless Data Processing with Dataflow: Operations,Google Cloud,Advanced,1h 51m,2024-08-02,
https://www.pluralsight.com/browse?=&q=business%20intelligence&type=all&sort=default,Course,Beginner's Guide to Business Analysis,Casey Ayers,Beginner,2h 27m,2024-08-01,
https://www.pluralsight.com/browse?=&q=business%20intelligence&type=all&sort=default,Course,Beginner's Guide to Business Analysis,Casey Ayers,Beginner,2h 27m,2024-08-01,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Post Exploitation Operations with Cobalt Strike,Rishalin Pillay,Intermediate,1h 20m,2024-08-01,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Information Systems Auditing Process: Planning,Kevin Henry,Intermediate,1h 59m,2024-08-01,
https://www.pluralsight.com/browse?=&q=collaboration%20platforms&type=all&sort=default,Course,Enhance Team Collaboration with Power BI Service,Avdhesh Gaur,Intermediate,17m,2024-08-01,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Post Exploitation Operations with Cobalt Strike,Rishalin Pillay,Intermediate,1h 20m,2024-08-01,
https://www.pluralsight.com/browse?=&q=mobile%20development&type=all&sort=default,Course,Metaverse: Development Platforms and Tools,Brian Letort,Intermediate,4h 21m,2024-07-31,
https://www.pluralsight.com/browse?=&q=security%20testing&type=all&sort=default,Course,Session Management Testing with Burp Suite,Ricardo Reimao,Intermediate,53m,2024-07-31,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Metaverse: Development Platforms and Tools,Brian Letort,Intermediate,4h 21m,2024-07-31,
https://www.pluralsight.com/browse?=&q=web%20development&type=all&sort=default,Course,Metaverse: Development Platforms and Tools,Brian Letort,Intermediate,4h 21m,2024-07-31,
https://www.pluralsight.com/browse?=&q=mobile%20development&type=all&sort=default,Course,Developing Java Apps with Docker,Esteban Herrera,Intermediate,3h 21m,2024-07-31,(22)
https://www.pluralsight.com/browse?=&q=game%20development&type=all&sort=default,Course,Metaverse: Development Platforms and Tools,Brian Letort,Intermediate,4h 21m,2024-07-31,
https://www.pluralsight.com/browse?=&q=containers&type=all&sort=default,Course,Developing Java Apps with Docker,Esteban Herrera,Intermediate,3h 21m,2024-07-31,(22)
https://www.pluralsight.com/browse?=&q=game%20development&type=all&sort=default,Course,Developing Java Apps with Docker,Esteban Herrera,Intermediate,3h 21m,2024-07-31,(22)
https://www.pluralsight.com/browse?=&q=collaboration%20platforms&type=all&sort=default,Course,Metaverse: Development Platforms and Tools,Brian Letort,Intermediate,4h 21m,2024-07-31,
https://www.pluralsight.com/browse?=&q=data%20languages%20libraries&type=all&sort=default,Course,Real-time Data Processing for Data Engineers,Daniel Stern,Beginner,34m,2024-07-30,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,CompTIA Cloud+ (CV0-004): Deployment,Michael Brown,Intermediate,2h 1m,2024-07-30,
https://www.pluralsight.com/browse?=&q=data%20visualization&type=all&sort=default,Course,Real-time Data Processing for Data Engineers,Daniel Stern,Beginner,34m,2024-07-30,
https://www.pluralsight.com/browse?=&q=office%20applications&type=all,Course,Application Development with Cloud Run,Google Cloud,Beginner,3h 32m,2024-07-29,
https://www.pluralsight.com/browse?=&q=containers&type=all&sort=default,Course,Application Development with Cloud Run,Google Cloud,Beginner,3h 32m,2024-07-29,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Application Development with Cloud Run,Google Cloud,Beginner,3h 32m,2024-07-29,
https://www.pluralsight.com/browse?=&q=game%20development&type=all&sort=default,Course,Application Development with Cloud Run,Google Cloud,Beginner,3h 32m,2024-07-29,
https://www.pluralsight.com/browse?=&q=mobile%20development&type=all&sort=default,Course,Application Development with Cloud Run,Google Cloud,Beginner,3h 32m,2024-07-29,
https://www.pluralsight.com/browse?=&q=cloud%20platforms&type=all&sort=default,Course,Developing Applications with Cloud Run on Google Cloud: Fundamentals,Google Cloud,Beginner,3m,2024-07-26,
https://www.pluralsight.com/browse?=&q=mobile%20development&type=all&sort=default,Course,AWS Certified Developer - Associate (DVA-C02),Faye Ellis,Intermediate,20h 39m,2024-07-26,(75)
https://www.pluralsight.com/browse?=&q=cloud%20architecture%20design&type=all&sort=default,Course,Developing Applications with Cloud Run on Google Cloud: Fundamentals,Google Cloud,Beginner,3m,2024-07-26,
https://www.pluralsight.com/browse?=&q=client%20operating%20systems=&type=all&sort=default,Course,Optimize Workflows with Apache Airflow Operators,Janani Ravi,Intermediate,22m,2024-07-25,
https://www.pluralsight.com/browse?=&q=security%20operations&type=all&sort=default,Course,Optimize Workflows with Apache Airflow Operators,Janani Ravi,Intermediate,22m,2024-07-25,
